file,kind,content,source_page,license
line_art/la05.jpg,line_art,"loose graphite sketch, seated man w/ hat, 3/4","https://commons.wikimedia.org/wiki/File:Drawing_Drawing,_Portrait_of_a_Man,_1869_(CH_18173907).jpg",Public domain
line_art/la06.jpg,line_art,"simple clean newspaper line drawing, woman, frontal",https://commons.wikimedia.org/wiki/File:Generic_line_drawing_of_woman_(1910).jpg,Public domain
line_art/la07.jpg,line_art,"chalk/pencil drawing, man w/ wide hat, near-frontal","https://commons.wikimedia.org/wiki/File:H._Spiegel;_portrait._Drawing,_c._1793._Wellcome_V0009252EL.jpg",CC BY 4.0
line_art/la08.jpg,line_art,"bold high-contrast ink portrait, man, frontal",https://commons.wikimedia.org/wiki/File:Isaac_Joel_Linetzky_line_drawing_portrait_from_Dos_Poylishe_Yungel.jpg,Public domain
line_art/la13.jpg,line_art,"blind-contour drawing, young man, frontal (crude)",https://commons.wikimedia.org/wiki/File:Blind_Contour_Drawing_of_a_Young_Man%27s_Face_by_J.D._Cabe.jpg,CC0
line_art/la14.png,line_art,"loose charcoal, boxer, head tilted down 3/4","https://commons.wikimedia.org/wiki/File:C._1923-27_pencil_sketch_of_the_heavyweight_boxer_Jack_Dempsey_by_the_Hungarian-born_caricaturist_Henry_Major._From_the_National_Portrait_Gallery,_Smithsonian_Institution.png",Public domain
line_art/la15.jpg,line_art,"graphite sketch, man, strict side profile",https://commons.wikimedia.org/wiki/File:Gilbert_Murray_pencil_sketch.jpg,Public domain
line_art/la17.jpg,line_art,"realistic shaded pencil, woman, 3/4",https://commons.wikimedia.org/wiki/File:Indian_woman_-_charcoal_pencil_sketch_portrait_art.jpg,CC0
line_art/la19.jpg,line_art,"loose graphite sketch, man w/ cigarette+glasses, 3/4",https://commons.wikimedia.org/wiki/File:Pencil_Sketch_of_Henry_Dawson_Lowry.jpg,Public domain
line_art/la20.jpg,line_art,"modern shaded pencil, man, frontal",https://commons.wikimedia.org/wiki/File:Pencil_sketch_of_Marc_Dutroux.jpg,CC BY-SA 4.0
line_art/la21.png,line_art,"faint light pencil sketch, bearded man, frontal","https://commons.wikimedia.org/wiki/File:Pencil_sketch_of_Rabindranath_Tagore_by_Helen_Damrosch_Tee-Van,_created_in_New_York_City,_1916.png",Public domain
line_art/la25.jpg,line_art,"stipple engraving, old woman, 3/4",https://commons.wikimedia.org/wiki/File:Head_of_an_old_man._Stipple_engraving._Wellcome_V0009308.jpg,CC BY 4.0
line_art/la28.jpg,line_art,"ukiyo-e woodblock print, woman, stylized frontal",https://commons.wikimedia.org/wiki/File:Ase_o_fuku_onna2.jpg,Public domain
line_art/la30.jpg,line_art,"colored-chalk drawing, woman, strict profile","https://commons.wikimedia.org/wiki/File:Dante_Gabriel_Rossetti_-_Alexa_Wilding,_A_Study_for_Dante%27s_Dream.jpg",Public domain
line_art/la32.jpg,line_art,"soft graphite drawing, young woman, near-frontal",https://commons.wikimedia.org/wiki/File:Sandys_-_Study_of_the_head_of_a_young_mulatto_woman_-full_face.jpg,Public domain
photos/ph08.jpg,photo,"modern color studio headshot, man, frontal smiling",https://commons.wikimedia.org/wiki/File:Aronberg_headshot.jpeg,Public domain
photos/ph10.jpg,photo,"official portrait, older man w/ glasses, frontal",https://commons.wikimedia.org/wiki/File:Pranab_Mukherjee_Portrait_(headshot).jpg,GODL-India
photos/ph11.jpg,photo,"elderly woman close-up, frontal",https://commons.wikimedia.org/wiki/File:Elderly_Gambian_woman_face_portrait.jpg,CC BY-SA 2.0
photos/ph15.jpg,photo,"woman w/ facial tattoos, frontal smiling",https://commons.wikimedia.org/wiki/File:Kutia_kondh_woman_3.jpg,CC BY-SA 4.0
photos/ph18.jpg,photo,"woman w/ cigarette, frontal smiling",https://commons.wikimedia.org/wiki/File:Woman_with_hand-rolled_cigarette.jpg,CC BY-SA 4.0
